Suburb/Town Name,Region,Local Government Area,Postcode
Richmond,Metro Inner,Yarra,3121
Riddells Creek,,,
Ringwood,Metro Inner East,Maroondah,3134
Ringwood East,Metro Inner East,Maroondah,3135
Ringwood North,Metro Inner East,Maroondah,3134
Ripponlea,Metro Inner,Port Phillip,3185
Robinvale,,,
Rochester,,,
Rockbank,Metro Outer West,Melton,3335
Romsey,,,
Rosanna,Metro Inner North,Banyule,3084
Rosebud,Metro Outer South,Mornington Peninsula,3939
Rosedale,Other,Wellington,3847
Rowville,Metro Inner East,Knox,3178
Roxburgh Park,,,
Rutherglen,Other,Indigo,3685
Rye,Metro Outer South,Mornington Peninsula,3941
Safety Beach,Metro Outer South,Mornington Peninsula,3936
Sale,Other,Wellington,3850
Sandhurst,,,
Sandringham,Metro Inner South,Bayside,3191
Scoresby,Metro Inner East,Knox,3179
Sea Lake,Other,Buloke,3533
Seabrook,Metro Inner West,Hobsons Bay,3028
Seaford,Other,Frankston,3198
Seaholme,Metro Inner West,Hobsons Bay,3018
Sebastopol,Other,Ballarat,3356
Seddon,Metro Inner West,Maribyrnong,3011
Seville,Metro Outer East,Yarra Ranges,3139
Seymour,Other,Mitchell,3660
Shepparton,Other,Greater Shepparton,3630
Silverleaves,Other,Bass Coast,3922
Skenes Creek,Other,Colac-Otway,3233
Skye,,,
Smythes Creek,Other,Ballarat,3351
Soldiers Hill,Other,Ballarat,3350
Somerton,,,
Somerville,Metro Outer South,Mornington Peninsula,3912
Sorrento,,,
South Geelong,Other,Greater Geelong,3220
South Melbourne,Metro Inner,Port Phillip,3205
South Morang,Metro Outer North,Whittlesea,3752
South Wharf,Metro Inner,Melbourne,3006
South Yarra,Metro Inner,Melbourne,3141
Southbank,Metro Inner,Port Phillip,3006
Spotswood,Metro Inner West,Hobsons Bay,3015
Spring Gully,Other,Greater Bendigo,3550
Springvale,Other,Greater Dandenong,3171
Springvale South,Other,Greater Dandenong,3172
St Albans,Metro Inner West,Brimbank,3021
St Albans Park,,,
St Arnaud,Other,Northern Grampians,3478
St Helena,Metro Inner North,Banyule,3088
St Kilda,Metro Inner,Port Phillip,3182
St Kilda East,Metro Inner,Port Phillip,3183
St Kilda West,Metro Inner,Port Phillip,3182
St Leonards,Other,Greater Geelong,3223
Stawell,Other,Northern Grampians,3380
Stratford,Other,Wellington,3862
Strathdale,,,
Strathfieldsaye,Other,Greater Bendigo,3551
Strathmore,Metro Inner West,Moonee Valley,3041
Strathtulloh,Metro Outer West,Melton,3338
Sunbury,Metro Outer North,Hume,3429
Sunshine,Metro Inner West,Brimbank,3020
Sunshine North,Metro Inner West,Brimbank,3020
Sunshine West,Metro Inner West,Brimbank,3020
Surrey Hills,Metro Inner East,Boroondara,3127
Swan Hill,Other,Swan Hill,3585
Sydenham,Metro Inner West,Brimbank,3037
Tarneit,Metro Outer West,Wyndham,3029
Tatura,Other,Greater Shepparton,3616
Taylors Hill,,,
Taylors Lakes,Metro Inner West,Brimbank,3038
Templestowe,,,
Templestowe Lower,,,
Terang,,,
The Basin,Metro Inner East,Knox,3154
Thomastown,Metro Outer North,Whittlesea,3074
Thomson,,,
Thornbury,Metro Inner North,Darebin,3071
Thornhill Park,Metro Outer West,Melton,3335
Thornton,Other,Murrindindi,3712
Tongala,Other,Campaspe,3621
Tooradin,,,
Toorak,Metro Inner East,Stonnington,3142
Tootgarook,,,
Torquay,Other,Surf Coast,3228
Tottenham,,,
Trafalgar,,,
Traralgon,Other,Latrobe,3844
Traralgon East,Other,Latrobe,3844
Travancore,Metro Inner West,Moonee Valley,3032
Trentham,Other,Hepburn,3458
Truganina,Metro Outer West,Wyndham,3029
Tullamarine,Metro Outer North,Hume,3043
Tyabb,Metro Outer South,Mornington Peninsula,3913
Undera,Other,Greater Shepparton,3629
Upper Ferntree Gully,Metro Inner East,Knox,3156
Upwey,Metro Outer East,Yarra Ranges,3158
Vermont,Metro Inner East,Whitehorse,3133
Vermont South,Metro Inner East,Whitehorse,3133
Viewbank,,,
Wallan,Other,Mitchell,3756
Wandong,,,
Wangaratta,Other,Wangaratta,3677
Wantirna,Metro Inner East,Knox,3152
Wantirna South,Metro Inner East,Knox,3152
Warburton,Metro Outer East,Yarra Ranges,3799
Warburton,Metro Outer East,Yarra Ranges,3799
Warracknabeal,,Yarriambiack,3393
Warragul,Other,Baw Baw,3820
Warrandyte,Metro Inner East,Manningham,3113
Warrenheip,,,
Warranwood,Metro Inner East,Maroondah,3134
Warrnambool,Other,Warrnambool,3280
Watsonia,Metro Inner North,Banyule,3087
Watsonia North,,,
Waurn Ponds,Other,Greater Geelong,3216
Weir Views,,,
Wendouree,Other,Ballarat,3355
Werribee,Metro Outer West,Wyndham,3030
Werribee South,,,
West Bendigo,Other,Greater Bendigo,3550
West Footscray,Metro Inner West,Maribyrnong,3012
West Melbourne,Metro Inner,Melbourne,3003
West Wodonga,Other,Wodonga,3690
Westmeadows,,,
Wheelers Hill,Metro Inner East,Monash,3150
White Hills,Other,Greater Bendigo,3550
Whittington,,,
Whittlesea,,,
Williams Landing,Metro Outer West,Wyndham,3027
Williamstown,Metro Inner West,Hobsons Bay,3016
Williamstown North,Metro Inner West,Hobsons Bay,3016
Winchelsea,,,
Wimbledon Heights,Other,Bass Coast,3922
Windsor,Metro Inner,Port Phillip,3181
Winter Valley,,,
Wodonga,Other,Wodonga,3690
Wollert,Metro Outer North,Whittlesea,3750
Wonthaggi,Other,Bass Coast,3995
Woodend,Other,Macedon Ranges,3442
Woori Yallock,Metro Outer East,Yarra Ranges,3139
Wyndham Vale,Metro Outer West,Wyndham,3024
Wurruk,Other,Wellington,3850
Wyndham Vale,Metro Outer West,Wyndham,3024
Yallambie,,,
Yallourn North,,,
Yarra Glen,,,
Yarra Junction,Metro Outer East,Yarra Ranges,3797
Yarragon,,,
Yarram,Other,Wellington,3971
Yarraville,Metro Inner West,Maribyrnong,3013
Yarrawonga,Other,Moira,3730
Yea,Other,Murrindindi,3717
