Region,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024
Metro Inner East,Chadstone,B Property and deception offences,B40 Theft,277
Metro Outer West,Werribee,B Property and deception offences,B30 Burglary/Break and enter,277
Other,Dandenong North,B Property and deception offences,B40 Theft,276
Other,Morwell,B Property and deception offences,B30 Burglary/Break and enter,276
Metro Outer South,Moorabbin,E Justice procedures offences,E20 Breaches of orders,276
Metro Outer South,Cranbourne West,B Property and deception offences,B40 Theft,275
Metro Inner South,Brighton East,B Property and deception offences,B40 Theft,274
Metro Inner South,Elsternwick,B Property and deception offences,B40 Theft,274
Metro Outer South,Cranbourne East,B Property and deception offences,B40 Theft,273
Other,Moe,E Justice procedures offences,E20 Breaches of orders,272
Metro Inner,St Kilda East,B Property and deception offences,B40 Theft,272
Other,Lara,B Property and deception offences,B40 Theft,271
Metro Outer South,Cranbourne,E Justice procedures offences,E20 Breaches of orders,271
Other,Moe,B Property and deception offences,B40 Theft,271
Metro Outer North,Roxburgh Park,B Property and deception offences,B40 Theft,270
Metro Inner South,Hampton,B Property and deception offences,B40 Theft,269
Other,Noble Park,E Justice procedures offences,E20 Breaches of orders,269
Metro Outer South,Pakenham,B Property and deception offences,B20 Property damage,268
Metro Outer North,Mickleham,B Property and deception offences,B40 Theft,268
Metro Outer West,Wyndham Vale,E Justice procedures offences,E20 Breaches of orders,268
Other,Springvale,E Justice procedures offences,E20 Breaches of orders,268
Metro Outer West,Melton South,B Property and deception offences,B40 Theft,267
Other,Horsham,A Crimes against the person,A20 Assault and related offences,267
Metro Outer West,Wyndham Vale,B Property and deception offences,B20 Property damage,266
Metro Inner East,Doncaster,B Property and deception offences,B30 Burglary/Break and enter,265
Metro Outer North,Lalor,B Property and deception offences,B40 Theft,265
Metro Outer South,Narre Warren,A Crimes against the person,A20 Assault and related offences,262
Metro Inner East,Bayswater,B Property and deception offences,B40 Theft,262
Metro Inner,Docklands,A Crimes against the person,A20 Assault and related offences,262
Other,Langwarrin,B Property and deception offences,B40 Theft,261
Metro Inner,Carlton North,B Property and deception offences,B40 Theft,260
Metro Inner West,St Albans,E Justice procedures offences,E20 Breaches of orders,259
Metro Outer West,Hoppers Crossing,A Crimes against the person,A20 Assault and related offences,259
Metro Inner East,Burwood East,B Property and deception offences,B40 Theft,258
Metro Inner East,Malvern,B Property and deception offences,B40 Theft,258
Metro Inner East,Malvern East,B Property and deception offences,B30 Burglary/Break and enter,258
Metro Outer North,Sunbury,E Justice procedures offences,E20 Breaches of orders,258
Metro Outer South,Clyde,B Property and deception offences,B40 Theft,255
Other,Grovedale,B Property and deception offences,B40 Theft,252
Metro Outer North,Broadmeadows,A Crimes against the person,A20 Assault and related offences,252
Other,Noble Park,A Crimes against the person,A20 Assault and related offences,252
Metro Inner East,Doncaster East,B Property and deception offences,B40 Theft,251
Metro Inner,Southbank,B Property and deception offences,B20 Property damage,251
Other,Geelong West,B Property and deception offences,B40 Theft,249
Metro Outer South,Pakenham,B Property and deception offences,B30 Burglary/Break and enter,249
Metro Inner West,Footscray,B Property and deception offences,B30 Burglary/Break and enter,246
Metro Outer North,Epping,E Justice procedures offences,E20 Breaches of orders,246
Other,Sale,A Crimes against the person,A20 Assault and related offences,246
Metro Outer North,Wollert,B Property and deception offences,B40 Theft,245
Other,Seaford,E Justice procedures offences,E20 Breaches of orders,245
Metro Inner East,Nunawading,B Property and deception offences,B40 Theft,244
Other,Norlane,A Crimes against the person,A20 Assault and related offences,244
Metro Inner,Richmond,B Property and deception offences,B30 Burglary/Break and enter,244
Metro Inner,Richmond,E Justice procedures offences,E20 Breaches of orders,243
Metro Outer West,Point Cook,A Crimes against the person,A20 Assault and related offences,243
Metro Inner,Fitzroy,B Property and deception offences,B20 Property damage,242
Metro Outer North,Epping,B Property and deception offences,B20 Property damage,242
