Region,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024
,Valencia Creek,B Property and deception offences,B40 Theft,1
Metro Inner,West Melbourne CBD,B Property and deception offences,B10 Arson,1
Other,Stratford,E Justice procedures offences,E10 Justice procedures,1
,Yambuk,C Drug offences,C10 Drug dealing and trafficking,1
,Newmerella,B Property and deception offences,B30 Burglary/Break and enter,1
Other,Brown Hill,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,Fish Creek,E Justice procedures offences,E20 Breaches of orders,1
,Irrewarra,D Public order and security offences,D10 Weapons and explosives offences,1
,Narrawong,D Public order and security offences,D10 Weapons and explosives offences,1
,Barmah,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
,Wangoom,E Justice procedures offences,E10 Justice procedures,1
Metro Inner East,Donvale,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,Merbein South,B Property and deception offences,B10 Arson,1
,Lance Creek,C Drug offences,C30 Drug use and possession,1
Other,Longwarry,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
Metro Inner East,Wantirna,B Property and deception offences,B10 Arson,1
,Pakenham Upper,D Public order and security offences,D20 Disorderly and offensive conduct,1
,Simpsons Creek,B Property and deception offences,B20 Property damage,1
Metro Inner East,Notting Hill,C Drug offences,C10 Drug dealing and trafficking,1
,Avonsleigh,C Drug offences,C30 Drug use and possession,1
,Rupanyup,D Public order and security offences,D10 Weapons and explosives offences,1
,Puckapunyal,E Justice procedures offences,E20 Breaches of orders,1
,Tarraville,A Crimes against the person,A20 Assault and related offences,1
Metro Inner North,Yallambie,D Public order and security offences,D10 Weapons and explosives offences,1
Metro Inner,Middle Park,D Public order and security offences,D20 Disorderly and offensive conduct,1
Metro Inner West,St Albans,F Other offences,F20 Transport regulation offences,1
Other,Mildura,F Other offences,F20 Transport regulation offences,1
,Tarwin Lower,C Drug offences,C30 Drug use and possession,1
,Port Albert,C Drug offences,C20 Cultivate or manufacture drugs,1
,Alberton,D Public order and security offences,D10 Weapons and explosives offences,1
Other,East Geelong,D Public order and security offences,D20 Disorderly and offensive conduct,1
,St James,E Justice procedures offences,E20 Breaches of orders,1
Metro Inner South,Beaumaris,C Drug offences,C20 Cultivate or manufacture drugs,1
,Wesburn,B Property and deception offences,B30 Burglary/Break and enter,1
,Arthurs Seat,C Drug offences,C20 Cultivate or manufacture drugs,1
,Oxley,E Justice procedures offences,E10 Justice procedures,1
Metro Inner South,Gardenvale,A Crimes against the person,A50 Robbery,1
Other,Gateway Island,B Property and deception offences,B10 Arson,1
,Lindenow,B Property and deception offences,B20 Property damage,1
Other,Mallacoota,F Other offences,F90 Miscellaneous offences,1
,Northwood,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,Swan Reach,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
Metro Outer South,Berwick,F Other offences,F20 Transport regulation offences,1
,Vectis,A Crimes against the person,A20 Assault and related offences,1
,Dunach,B Property and deception offences,B50 Deception,1
Other,Ballan,F Other offences,F20 Transport regulation offences,1
,Oaklands Junction,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,Devenish,B Property and deception offences,B40 Theft,1
,Corack East,A Crimes against the person,A20 Assault and related offences,1
Other,Maryborough,A Crimes against the person,A50 Robbery,1
Other,Huntly,C Drug offences,C10 Drug dealing and trafficking,1
Other,Yarram,D Public order and security offences,D30 Public nuisance offences,1
,Apsley,D Public order and security offences,D20 Disorderly and offensive conduct,1
,Taggerty,B Property and deception offences,B50 Deception,1
,Charlton,C Drug offences,C30 Drug use and possession,1
,Dunluce,C Drug offences,C20 Cultivate or manufacture drugs,1
Metro Inner West,Ascot Vale,F Other offences,F90 Miscellaneous offences,1
,Strathdownie,B Property and deception offences,B30 Burglary/Break and enter,1
,Tubbut,C Drug offences,C30 Drug use and possession,1
,Tubbut,C Drug offences,C20 Cultivate or manufacture drugs,1
,Ferndale,A Crimes against the person,A20 Assault and related offences,1
,Tallarook,B Property and deception offences,B10 Arson,1
,Meredith,B Property and deception offences,B10 Arson,1
,Ranceby,B Property and deception offences,B20 Property damage,1
,Little Hampton,A Crimes against the person,Other crimes against the person,1
Other,Flora Hill,A Crimes against the person,A50 Robbery,1
,Ascot,D Public order and security offences,D30 Public nuisance offences,1
,Laceby,B Property and deception offences,B30 Burglary/Break and enter,1
,Elaine,A Crimes against the person,Other crimes against the person,1
,Boisdale,A Crimes against the person,Other crimes against the person,1
,Lancaster,B Property and deception offences,B20 Property damage,1
,Caniambo,B Property and deception offences,B30 Burglary/Break and enter,1
,Swanwater,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
,Illawarra,E Justice procedures offences,E20 Breaches of orders,1
,Lake Boga,C Drug offences,C10 Drug dealing and trafficking,1
,Red Hill South,B Property and deception offences,B20 Property damage,1
,Garfield,D Public order and security offences,D10 Weapons and explosives offences,1
Metro Inner East,Deepdene,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
,Forge Creek,A Crimes against the person,Other crimes against the person,1
,Laharum,F Other offences,F90 Miscellaneous offences,1
,Woorinen,B Property and deception offences,B20 Property damage,1
,Bandiana,D Public order and security offences,D40 Public security offences,1
,Inglewood,D Public order and security offences,D20 Disorderly and offensive conduct,1
Metro Inner East,Balwyn North,F Other offences,F30 Other government regulatory offences,1
,Walhalla,A Crimes against the person,Other crimes against the person,1
,Rythdale,B Property and deception offences,B30 Burglary/Break and enter,1
,Smythesdale,D Public order and security offences,D10 Weapons and explosives offences,1
,Burkes Bridge,A Crimes against the person,Other crimes against the person,1
Other,Cape Woolamai,F Other offences,F20 Transport regulation offences,1
Other,Soldiers Hill,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
Other,Elliminyt,C Drug offences,C20 Cultivate or manufacture drugs,1
Other,Long Gully,D Public order and security offences,D30 Public nuisance offences,1
,Bunding,B Property and deception offences,B40 Theft,1
,Cudgee,B Property and deception offences,B20 Property damage,1
,Strathmerton,C Drug offences,C20 Cultivate or manufacture drugs,1
,Cape Schanck,A Crimes against the person,Other crimes against the person,1
,Mount Beauty,D Public order and security offences,D20 Disorderly and offensive conduct,1
,Seville East,C Drug offences,C10 Drug dealing and trafficking,1
Metro Inner West,Travancore,D Public order and security offences,D10 Weapons and explosives offences,1
,Broken Creek,B Property and deception offences,B30 Burglary/Break and enter,1
,Rocklyn,A Crimes against the person,Other crimes against the person,1
Other,Newborough,A Crimes against the person,A50 Robbery,1
,Sandford,E Justice procedures offences,E20 Breaches of orders,1
,Myrtlebank,A Crimes against the person,A20 Assault and related offences,1
,Mount Glasgow,C Drug offences,C30 Drug use and possession,1
,Tallygaroopna,C Drug offences,C30 Drug use and possession,1
,Jan Juc,C Drug offences,C20 Cultivate or manufacture drugs,1
,Nerrina,E Justice procedures offences,E20 Breaches of orders,1
,Beauchamp,B Property and deception offences,B30 Burglary/Break and enter,1
,Port Welshpool,B Property and deception offences,B20 Property damage,1
Metro Inner East,Box Hill North,C Drug offences,C20 Cultivate or manufacture drugs,1
,Blind Bight,A Crimes against the person,A20 Assault and related offences,1
,Ventnor,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
,Guildford,B Property and deception offences,B30 Burglary/Break and enter,1
,Narrawong,B Property and deception offences,B40 Theft,1
Other,Newhaven,B Property and deception offences,B50 Deception,1
,Yinnar,C Drug offences,C20 Cultivate or manufacture drugs,1
,Dimboola,D Public order and security offences,D10 Weapons and explosives offences,1
Metro Inner East,Blackburn North,B Property and deception offences,B10 Arson,1
,Pine Lodge,B Property and deception offences,B30 Burglary/Break and enter,1
,Fyansford,B Property and deception offences,B10 Arson,1
,Baddaginnie,B Property and deception offences,B50 Deception,1
Other,Mount Clear,D Public order and security offences,D30 Public nuisance offences,1
,Mooralla,B Property and deception offences,B20 Property damage,1
,Point Lonsdale,A Crimes against the person,A20 Assault and related offences,1
,Dalyston,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
,Corop,A Crimes against the person,A20 Assault and related offences,1
,Flowerdale,B Property and deception offences,B10 Arson,1
,Hazelwood South,E Justice procedures offences,E20 Breaches of orders,1
,Reefton,B Property and deception offences,B30 Burglary/Break and enter,1
Metro Inner North,Montmorency,E Justice procedures offences,E10 Justice procedures,1
,Yannathan,C Drug offences,C20 Cultivate or manufacture drugs,1
,Rushworth,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,Hoddles Creek,C Drug offences,C30 Drug use and possession,1
,Cobungra,B Property and deception offences,B20 Property damage,1
,Glengarry,C Drug offences,C20 Cultivate or manufacture drugs,1
Other,Kerang,F Other offences,F20 Transport regulation offences,1
Metro Outer North,Mill Park,F Other offences,F30 Other government regulatory offences,1
Other,Indented Head,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,Alvie,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,Tanjil South,E Justice procedures offences,E10 Justice procedures,1
,Carapooee West,B Property and deception offences,B50 Deception,1
,Bonnie Doon,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,Wooragee,C Drug offences,C20 Cultivate or manufacture drugs,1
,Plenty,B Property and deception offences,B10 Arson,1
,Calivil,B Property and deception offences,B50 Deception,1
,Poowong North,B Property and deception offences,B50 Deception,1
,Balnarring,C Drug offences,C30 Drug use and possession,1
,Faraday,C Drug offences,C10 Drug dealing and trafficking,1
Metro Inner East,Balwyn North,C Drug offences,C10 Drug dealing and trafficking,1
Other,Sea Lake,B Property and deception offences,B50 Deception,1
Metro Inner East,Bayswater North,C Drug offences,C10 Drug dealing and trafficking,1
,Mockinya,E Justice procedures offences,E20 Breaches of orders,1
,Harrietville,C Drug offences,C20 Cultivate or manufacture drugs,1
Other,Avoca,D Public order and security offences,D30 Public nuisance offences,1
Metro Outer South,Beaconsfield,C Drug offences,C10 Drug dealing and trafficking,1
,Castella,D Public order and security offences,D20 Disorderly and offensive conduct,1
Other,Irymple,D Public order and security offences,D20 Disorderly and offensive conduct,1
,Wesburn,E Justice procedures offences,E10 Justice procedures,1
Metro Outer South,Mount Eliza,B Property and deception offences,B10 Arson,1
,Bandiana,E Justice procedures offences,E20 Breaches of orders,1
,Birdwoodton,A Crimes against the person,A20 Assault and related offences,1
,Corunnun,B Property and deception offences,B50 Deception,1
Metro Outer North,Thomastown,F Other offences,F90 Miscellaneous offences,1
Metro Outer West,Tarneit,F Other offences,F90 Miscellaneous offences,1
,Bullarto,B Property and deception offences,B50 Deception,1
,Leneva,B Property and deception offences,B10 Arson,1
,Merrigum,C Drug offences,C30 Drug use and possession,1
Metro Inner North,Alphington,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
,Wandin North,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,Naroghid,B Property and deception offences,B20 Property damage,1
,Woodstock On Loddon,E Justice procedures offences,E10 Justice procedures,1
,Wyuna,E Justice procedures offences,E10 Justice procedures,1
Metro Inner East,Oakleigh East,B Property and deception offences,B10 Arson,1
,Lismore,B Property and deception offences,B50 Deception,1
,Stradbroke,C Drug offences,C30 Drug use and possession,1
,Stony Creek,B Property and deception offences,B20 Property damage,1
,Yarroweyah,A Crimes against the person,Other crimes against the person,1
,Lindenow South,C Drug offences,C10 Drug dealing and trafficking,1
,Lismore,C Drug offences,C30 Drug use and possession,1
Other,Smythes Creek,C Drug offences,C10 Drug dealing and trafficking,1
Metro Outer South,Bunyip North,E Justice procedures offences,E20 Breaches of orders,1
Metro Outer West,Fraser Rise,B Property and deception offences,B10 Arson,1
,Hmas Cerberus,C Drug offences,C30 Drug use and possession,1
,Nerrina,C Drug offences,C30 Drug use and possession,1
,Walmer,B Property and deception offences,B30 Burglary/Break and enter,1
Other,Armstrong Creek,C Drug offences,C10 Drug dealing and trafficking,1
Metro Inner East,Knoxfield,C Drug offences,C20 Cultivate or manufacture drugs,1
,Muckleford,A Crimes against the person,A20 Assault and related offences,1
,Bonn,B Property and deception offences,B50 Deception,1
,Bundalaguah,E Justice procedures offences,E20 Breaches of orders,1
Metro Inner,South Yarra,F Other offences,F90 Miscellaneous offences,1
,Strzelecki,A Crimes against the person,Other crimes against the person,1
,Silvan,B Property and deception offences,B30 Burglary/Break and enter,1
,Yinnar,A Crimes against the person,A50 Robbery,1
,Don Valley,B Property and deception offences,B10 Arson,1
Other,Thomson,C Drug offences,C10 Drug dealing and trafficking,1
,Barrys Reef,B Property and deception offences,B30 Burglary/Break and enter,1
,Yangery,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
,Raglan,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
,Fish Creek,B Property and deception offences,B20 Property damage,1
,Plumpton,B Property and deception offences,B20 Property damage,1
,Armstrong,E Justice procedures offences,E10 Justice procedures,1
,Dartmoor,B Property and deception offences,B10 Arson,1
,Wemen,B Property and deception offences,B40 Theft,1
Other,Dandenong,F Other offences,F90 Miscellaneous offences,1
,Chewton,C Drug offences,C10 Drug dealing and trafficking,1
Other,Ararat,A Crimes against the person,A50 Robbery,1
,Milawa,E Justice procedures offences,E20 Breaches of orders,1
,Wickliffe,B Property and deception offences,B30 Burglary/Break and enter,1
,Clunes,B Property and deception offences,B50 Deception,1
,Walpeup,C Drug offences,C30 Drug use and possession,1
Metro Inner East,Croydon North,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,Kernot,E Justice procedures offences,E20 Breaches of orders,1
,Jumbunna,D Public order and security offences,D10 Weapons and explosives offences,1
,Tynong,A Crimes against the person,Other crimes against the person,1
,Blind Bight,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
,Fiskville,B Property and deception offences,B40 Theft,1
,Winjallok,B Property and deception offences,B40 Theft,1
Metro Outer South,Crib Point,C Drug offences,C10 Drug dealing and trafficking,1
Other,Black Hill,C Drug offences,C20 Cultivate or manufacture drugs,1
Other,Gateway Island,D Public order and security offences,D20 Disorderly and offensive conduct,1
,Kyabram South,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,Kiewa,B Property and deception offences,B30 Burglary/Break and enter,1
,She Oaks,B Property and deception offences,B50 Deception,1
,Kyneton South,B Property and deception offences,B40 Theft,1
Other,Yarram,A Crimes against the person,A50 Robbery,1
,Irishtown,A Crimes against the person,A20 Assault and related offences,1
Other,Nhill,B Property and deception offences,B10 Arson,1
,Grahamvale,C Drug offences,C20 Cultivate or manufacture drugs,1
Other,Ballarat North,C Drug offences,C10 Drug dealing and trafficking,1
,Heathcote Junction,C Drug offences,C10 Drug dealing and trafficking,1
,Glenfyne,B Property and deception offences,B50 Deception,1
,Echuca West,B Property and deception offences,B30 Burglary/Break and enter,1
,Yering,B Property and deception offences,B50 Deception,1
,King Valley,C Drug offences,C10 Drug dealing and trafficking,1
Metro Outer East,Mount Dandenong,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
Metro Inner North,Yallambie,D Public order and security offences,D20 Disorderly and offensive conduct,1
,Murra Warra,E Justice procedures offences,E10 Justice procedures,1
,Kaarimba,B Property and deception offences,B40 Theft,1
,Mardan,B Property and deception offences,B40 Theft,1
,Ripplebrook,B Property and deception offences,B40 Theft,1
,Carpendeit,B Property and deception offences,B50 Deception,1
,Kilmore East,D Public order and security offences,D10 Weapons and explosives offences,1
,Natya,B Property and deception offences,B30 Burglary/Break and enter,1
,Invergordon,A Crimes against the person,Other crimes against the person,1
,Keely,C Drug offences,C30 Drug use and possession,1
,Baranduda,B Property and deception offences,B50 Deception,1
Metro Outer South,McCrae,C Drug offences,C20 Cultivate or manufacture drugs,1
Metro Inner East,Ashwood,C Drug offences,C10 Drug dealing and trafficking,1
Other,Ironbark,D Public order and security offences,D30 Public nuisance offences,1
,Cobungra,C Drug offences,C30 Drug use and possession,1
,Walpeup,B Property and deception offences,B20 Property damage,1
Metro Inner East,Templestowe Lower,C Drug offences,C20 Cultivate or manufacture drugs,1
,Pearsondale,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,Hotspur,A Crimes against the person,A20 Assault and related offences,1
Other,Romsey,E Justice procedures offences,E10 Justice procedures,1
,Sebastian,A Crimes against the person,Other crimes against the person,1
,Torrumbarry,E Justice procedures offences,E10 Justice procedures,1
,Riverside,E Justice procedures offences,E10 Justice procedures,1
Metro Inner East,Wheelers Hill,F Other offences,F20 Transport regulation offences,1
,Girgarre,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
Other,Yea,D Public order and security offences,D20 Disorderly and offensive conduct,1
Metro Outer North,South Morang,F Other offences,F20 Transport regulation offences,1
,Bunkers Hill,B Property and deception offences,B30 Burglary/Break and enter,1
,Bridgewater On Loddon,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
Other,Bakery Hill,B Property and deception offences,B10 Arson,1
,Clonbinane,A Crimes against the person,A20 Assault and related offences,1
,Dartmouth,B Property and deception offences,B40 Theft,1
,Gil Gil,B Property and deception offences,B50 Deception,1
Metro Inner,Fitzroy North,C Drug offences,C90 Other drug offences,1
,Noorat,B Property and deception offences,B40 Theft,1
,Harkaway,D Public order and security offences,D10 Weapons and explosives offences,1
,Harcourt,B Property and deception offences,B10 Arson,1
,Malmsbury,E Justice procedures offences,E20 Breaches of orders,1
,Lima East,B Property and deception offences,B50 Deception,1
,Balmoral,B Property and deception offences,B40 Theft,1
,Merrigum,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
Other,Mandurang South,B Property and deception offences,B40 Theft,1
,Great Western,C Drug offences,C10 Drug dealing and trafficking,1
Other,Tatura,D Public order and security offences,D20 Disorderly and offensive conduct,1
,Hopetoun,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,The Honeysuckles,B Property and deception offences,B30 Burglary/Break and enter,1
,Tallygaroopna,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
,Yapeen,A Crimes against the person,A20 Assault and related offences,1
,Bayles,B Property and deception offences,B50 Deception,1
,Wattle Glen,D Public order and security offences,D30 Public nuisance offences,1
,Purnim,B Property and deception offences,B50 Deception,1
,Attwood,C Drug offences,C30 Drug use and possession,1
,Hepburn Springs,E Justice procedures offences,E10 Justice procedures,1
,Ravenswood,B Property and deception offences,B20 Property damage,1
,Kinglake West,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
,McKenzie Hill,B Property and deception offences,B50 Deception,1
,Nullawil,B Property and deception offences,B30 Burglary/Break and enter,1
,Strathallan,B Property and deception offences,B30 Burglary/Break and enter,1
Metro Outer North,Melbourne CBD Airport,F Other offences,F30 Other government regulatory offences,1
,Red Hill,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
,Mannerim,B Property and deception offences,B40 Theft,1
,Yulecart,B Property and deception offences,B30 Burglary/Break and enter,1
,Myrniong,B Property and deception offences,B30 Burglary/Break and enter,1
,Metcalfe,B Property and deception offences,B30 Burglary/Break and enter,1
,Haddon,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
,Maindample,B Property and deception offences,B50 Deception,1
,Portland North,D Public order and security offences,D30 Public nuisance offences,1
,Timboon,B Property and deception offences,B20 Property damage,1
Metro Outer West,Kurunjang,F Other offences,F30 Other government regulatory offences,1
,Eden Park,B Property and deception offences,B30 Burglary/Break and enter,1
,Ullswater,E Justice procedures offences,E20 Breaches of orders,1
,Hilldene,E Justice procedures offences,E20 Breaches of orders,1
,Woodford,A Crimes against the person,A20 Assault and related offences,1
,Ripplebrook,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
,Wooreen,B Property and deception offences,B40 Theft,1
,Windermere,B Property and deception offences,B30 Burglary/Break and enter,1
,Mount Beauty,C Drug offences,C30 Drug use and possession,1
Other,Black Hill,C Drug offences,C30 Drug use and possession,1
,Graytown,C Drug offences,C20 Cultivate or manufacture drugs,1
,Shelbourne,C Drug offences,C30 Drug use and possession,1
Metro Outer West,Bonnie Brook,C Drug offences,C20 Cultivate or manufacture drugs,1
Metro Inner West,Altona Meadows,F Other offences,F30 Other government regulatory offences,1
,Mount Bute,A Crimes against the person,A20 Assault and related offences,1
Other,Mooroopna,A Crimes against the person,A50 Robbery,1
,Hesket,B Property and deception offences,B40 Theft,1
,Framlingham,A Crimes against the person,A20 Assault and related offences,1
,Cape Clear,A Crimes against the person,A20 Assault and related offences,1
,Narbethong,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
Other,Spring Gully,E Justice procedures offences,E10 Justice procedures,1
,Langley,B Property and deception offences,B40 Theft,1
,Grahamvale,E Justice procedures offences,E10 Justice procedures,1
,Ferndale,B Property and deception offences,B40 Theft,1
Metro Inner South,Braeside,A Crimes against the person,A50 Robbery,1
,Eynesbury,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,Mafeking,A Crimes against the person,Other crimes against the person,1
,Boorcan,D Public order and security offences,D10 Weapons and explosives offences,1
Other,Buninyong,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
,Carwarp,B Property and deception offences,B10 Arson,1
,Pakenham South,B Property and deception offences,B30 Burglary/Break and enter,1
,Whitlands,B Property and deception offences,B30 Burglary/Break and enter,1
Metro Outer South,Cranbourne,F Other offences,F20 Transport regulation offences,1
Metro Inner South,Chelsea Heights,E Justice procedures offences,E10 Justice procedures,1
Metro Outer South,Fingal,D Public order and security offences,D20 Disorderly and offensive conduct,1
,Wongarra,E Justice procedures offences,E20 Breaches of orders,1
,Woomelang,E Justice procedures offences,E20 Breaches of orders,1
,Pompapiel,B Property and deception offences,B40 Theft,1
,Yandoit,B Property and deception offences,B40 Theft,1
,Gobur,B Property and deception offences,B20 Property damage,1
,Indigo Valley,B Property and deception offences,B30 Burglary/Break and enter,1
,Riverslea,E Justice procedures offences,E20 Breaches of orders,1
,Lah,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,Willaura,B Property and deception offences,B20 Property damage,1
,Moyhu,A Crimes against the person,A20 Assault and related offences,1
,Boralma,B Property and deception offences,B40 Theft,1
,Bullaharre,A Crimes against the person,A20 Assault and related offences,1
Metro Outer North,North Warrandyte,D Public order and security offences,D10 Weapons and explosives offences,1
,Crymelon,B Property and deception offences,B40 Theft,1
,Tungamah,B Property and deception offences,B40 Theft,1
,Woorndoo,B Property and deception offences,B20 Property damage,1
,Orrvale,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
,McMahons Creek,B Property and deception offences,B40 Theft,1
Other,Strathfieldsaye,D Public order and security offences,D30 Public nuisance offences,1
,Eganstown,B Property and deception offences,B30 Burglary/Break and enter,1
,Yambuna,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
Metro Inner East,Croydon South,F Other offences,F10 Regulatory driving offences,1
,Walkerville,B Property and deception offences,B40 Theft,1
Other,Freeburgh,A Crimes against the person,A20 Assault and related offences,1
,Wheatsheaf,A Crimes against the person,A20 Assault and related offences,1
Metro Outer West,Hillside,A Crimes against the person,A50 Robbery,1
,Tungamah,F Other offences,F90 Miscellaneous offences,1
,Newmerella,E Justice procedures offences,E10 Justice procedures,1
,Violet Town,B Property and deception offences,B50 Deception,1
,Flagstaff,E Justice procedures offences,E10 Justice procedures,1
,Sawmill Settlement,B Property and deception offences,B20 Property damage,1
,Venus Bay,C Drug offences,C20 Cultivate or manufacture drugs,1
Metro Outer South,Aspendale,B Property and deception offences,B10 Arson,1
,Breamlea,B Property and deception offences,B20 Property damage,1
,Kaarimba,D Public order and security offences,D10 Weapons and explosives offences,1
,Mount Macedon,C Drug offences,C30 Drug use and possession,1
,Port Franklin,B Property and deception offences,B40 Theft,1
Metro Outer North,Coolaroo,F Other offences,F90 Miscellaneous offences,1
,Langsborough,B Property and deception offences,B30 Burglary/Break and enter,1
,Lucyvale,A Crimes against the person,Other crimes against the person,1
,Rainbow,A Crimes against the person,Other crimes against the person,1
Metro Outer East,Kilsyth,D Public order and security offences,D20 Disorderly and offensive conduct,1
,Rippleside,C Drug offences,C20 Cultivate or manufacture drugs,1
,Bailieston,A Crimes against the person,A20 Assault and related offences,1
,Lamplough,B Property and deception offences,B10 Arson,1
,Nerrena,B Property and deception offences,B40 Theft,1
Other,Heyfield,C Drug offences,C30 Drug use and possession,1
,Peechelba East,B Property and deception offences,B40 Theft,1
,Newmerella,D Public order and security offences,D10 Weapons and explosives offences,1
,Nareen,B Property and deception offences,B40 Theft,1
,Wairewa,B Property and deception offences,B40 Theft,1
Metro Inner East,Oakleigh,F Other offences,F20 Transport regulation offences,1
Metro Outer South,Carrum,B Property and deception offences,B10 Arson,1
,Ouyen,D Public order and security offences,D20 Disorderly and offensive conduct,1
,Toolondo,B Property and deception offences,B40 Theft,1
,Echuca West,C Drug offences,C30 Drug use and possession,1
,Bells Beach,D Public order and security offences,D20 Disorderly and offensive conduct,1
,Labertouche,A Crimes against the person,Other crimes against the person,1
,Mollongghip,B Property and deception offences,B20 Property damage,1
,Dumbalk,B Property and deception offences,B20 Property damage,1
,Tarwin Lower,D Public order and security offences,D20 Disorderly and offensive conduct,1
,Wildwood,B Property and deception offences,B10 Arson,1
,Blind Bight,E Justice procedures offences,E20 Breaches of orders,1
,Blowhard,B Property and deception offences,B20 Property damage,1
Other,Koondrook,A Crimes against the person,A20 Assault and related offences,1
,Gentle Annie,B Property and deception offences,B50 Deception,1
Other,Numurkah,D Public order and security offences,D30 Public nuisance offences,1
,Bellellen,A Crimes against the person,A20 Assault and related offences,1
,Majorca,E Justice procedures offences,E10 Justice procedures,1
,Jarklin,C Drug offences,C20 Cultivate or manufacture drugs,1
,Glenmore,E Justice procedures offences,E20 Breaches of orders,1
,Wallup,B Property and deception offences,B20 Property damage,1
,Denver,B Property and deception offences,B30 Burglary/Break and enter,1
,Ellerslie,B Property and deception offences,B40 Theft,1
,Cabbage Tree,B Property and deception offences,B10 Arson,1
Metro Inner North,Watsonia,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
Metro Outer South,Botanic Ridge,A Crimes against the person,A50 Robbery,1
,Point Wilson,D Public order and security offences,D30 Public nuisance offences,1
,Chum Creek,E Justice procedures offences,E20 Breaches of orders,1
Other,Wodonga,F Other offences,F90 Miscellaneous offences,1
,Bangerang,A Crimes against the person,Other crimes against the person,1
Other,Creswick,D Public order and security offences,D30 Public nuisance offences,1
,Mount Wallace,A Crimes against the person,Other crimes against the person,1
Metro Outer South,Gembrook,D Public order and security offences,D20 Disorderly and offensive conduct,1
,Drumborg,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",1
,Noorinbee,B Property and deception offences,B20 Property damage,1
Other,Bruthen,B Property and deception offences,B30 Burglary/Break and enter,1
,Tylden,D Public order and security offences,D10 Weapons and explosives offences,1
Metro Outer East,Mount Evelyn,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,Wy Yung,D Public order and security offences,D30 Public nuisance offences,1
,Springfield,B Property and deception offences,B40 Theft,1
,Koo Wee Rup North,C Drug offences,C30 Drug use and possession,1
,Barnawartha,E Justice procedures offences,E10 Justice procedures,1
,Axedale,B Property and deception offences,B10 Arson,1
,Alma,B Property and deception offences,B20 Property damage,1
,Coragulac,E Justice procedures offences,E20 Breaches of orders,1
,Yinnar,B Property and deception offences,B20 Property damage,1
,Trentham East,D Public order and security offences,D10 Weapons and explosives offences,1
Other,Longwarry,B Property and deception offences,B10 Arson,1
,Driffield,A Crimes against the person,A80 Dangerous and negligent acts endangering people,1
,Milloo,B Property and deception offences,B30 Burglary/Break and enter,1
,Carapooee,B Property and deception offences,B40 Theft,1
,Barnawartha,B Property and deception offences,B50 Deception,1
,Bendoc,B Property and deception offences,B40 Theft,1
Metro Outer East,Millgrove,C Drug offences,C30 Drug use and possession,1
,Langsborough,C Drug offences,C30 Drug use and possession,1
Metro Inner South,Highett,C Drug offences,C20 Cultivate or manufacture drugs,1
,Grassmere,B Property and deception offences,B30 Burglary/Break and enter,1
,Erica,B Property and deception offences,B50 Deception,1
