Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Incidents Recorded 2024,Incidents Recorded 2025,% change,# change
Melbourne,3000,Melbourne,D Public order and security offences,D10 Weapons and explosives offences,382,379,-0.7853403141361293,-3
Hume,3064,Craigieburn,A Crimes against the person,A20 Assault and related offences,380,426,12.10526315789473,46
Greater Geelong,3216,Belmont,B Property and deception offences,B40 Theft,380,308,-18.947368421052634,-72
Glen Eira,3165,Bentleigh East,B Property and deception offences,B40 Theft,380,464,22.10526315789474,84
Hobsons Bay,3016,Williamstown,B Property and deception offences,B40 Theft,376,623,65.69148936170212,247
Boroondara,3124,Camberwell,B Property and deception offences,B40 Theft,374,522,39.57219251336899,148
Maribyrnong,3013,Yarraville,B Property and deception offences,B40 Theft,373,658,76.40750670241287,285
Greater Shepparton,3630,Shepparton,B Property and deception offences,B30 Burglary/Break and enter,372,404,8.602150537634401,32
Greater Geelong,3214,Norlane,B Property and deception offences,B40 Theft,371,549,47.97843665768193,178
Melton,3023,Caroline Springs,B Property and deception offences,B40 Theft,369,427,15.718157181571812,58
Melbourne,3003,West Melbourne,B Property and deception offences,B40 Theft,365,594,62.73972602739726,229
Kingston,3194,Mentone,B Property and deception offences,B40 Theft,365,378,3.561643835616435,13
Mornington Peninsula,3939,Rosebud,B Property and deception offences,B40 Theft,360,455,26.388888888888886,95
Frankston,3199,Frankston,B Property and deception offences,B30 Burglary/Break and enter,359,517,44.01114206128134,158
Monash,3150,Glen Waverley,B Property and deception offences,B30 Burglary/Break and enter,356,318,-10.67415730337079,-38
Brimbank,3021,St Albans,A Crimes against the person,A20 Assault and related offences,356,355,-0.2808988764044895,-1
Port Phillip,3182,St Kilda,A Crimes against the person,A20 Assault and related offences,354,397,12.146892655367235,43
Greater Geelong,3214,Corio,E Justice procedures offences,E20 Breaches of orders,349,207,-40.68767908309455,-142
Casey,3976,Hampton Park,B Property and deception offences,B40 Theft,348,432,24.13793103448276,84
Hobsons Bay,3025,Altona North,B Property and deception offences,B40 Theft,348,578,66.0919540229885,230
Knox,3155,Boronia,B Property and deception offences,B40 Theft,347,550,58.501440922190206,203
Wangaratta,3677,Wangaratta,B Property and deception offences,B40 Theft,346,440,27.16763005780347,94
Glen Eira,3204,Bentleigh,B Property and deception offences,B40 Theft,344,306,-11.046511627906973,-38
Casey,3802,Endeavour Hills,B Property and deception offences,B40 Theft,344,410,19.186046511627897,66
Darebin,3073,Reservoir,A Crimes against the person,A20 Assault and related offences,341,411,20.52785923753666,70
Melbourne,3000,Melbourne,C Drug offences,C30 Drug use and possession,336,420,25.0,84
Maribyrnong,3011,Footscray,A Crimes against the person,A20 Assault and related offences,336,380,13.095238095238093,44
Wyndham,3029,Tarneit,A Crimes against the person,A20 Assault and related offences,335,362,8.059701492537318,27
Maroondah,3136,Croydon,B Property and deception offences,B40 Theft,333,578,73.57357357357357,245
Ballarat,3356,Sebastopol,B Property and deception offences,B40 Theft,333,356,6.906906906906918,23
Greater Bendigo,3555,Kangaroo Flat,B Property and deception offences,B40 Theft,332,397,19.57831325301205,65
Casey,3977,Cranbourne North,B Property and deception offences,B40 Theft,332,464,39.75903614457832,132
Cardinia,3809,Officer,B Property and deception offences,B40 Theft,330,519,57.27272727272727,189
Kingston,3169,Clayton South,B Property and deception offences,B40 Theft,330,548,66.06060606060606,218
Wodonga,3690,West Wodonga,B Property and deception offences,B40 Theft,329,317,-3.6474164133738607,-12
Boroondara,3123,Hawthorn East,B Property and deception offences,B40 Theft,326,518,58.89570552147239,192
Wyndham,3030,Werribee,B Property and deception offences,B20 Property damage,325,428,31.692307692307686,103
Port Phillip,3184,Elwood,B Property and deception offences,B40 Theft,324,475,46.604938271604944,151
Melbourne,3031,Kensington,B Property and deception offences,B40 Theft,323,531,64.39628482972137,208
Melbourne,3031,Kensington,B Property and deception offences,B40 Theft,323,35,-89.1640866873065,-288
Port Phillip,3182,St Kilda,B Property and deception offences,B20 Property damage,321,353,9.968847352024923,32
Moonee Valley,3031,Flemington,B Property and deception offences,B40 Theft,321,582,81.30841121495327,261
Moonee Valley,3031,Flemington,B Property and deception offences,B40 Theft,321,151,-52.95950155763241,-170
Wellington,3850,Sale,E Justice procedures offences,E20 Breaches of orders,320,380,18.75,60
Latrobe,3844,Traralgon,A Crimes against the person,A20 Assault and related offences,320,353,10.312499999999991,33
Casey,3806,Berwick,A Crimes against the person,A20 Assault and related offences,320,284,-11.250000000000004,-36
Whitehorse,3130,Blackburn,B Property and deception offences,B40 Theft,319,461,44.51410658307211,142
Port Phillip,3182,St Kilda,E Justice procedures offences,E20 Breaches of orders,318,174,-45.28301886792453,-144
Wangaratta,3677,Wangaratta,E Justice procedures offences,E20 Breaches of orders,316,289,-8.544303797468356,-27
Melbourne,3006,Southbank,A Crimes against the person,A20 Assault and related offences,313,293,-6.389776357827481,-20
Melbourne,3006,Southbank,A Crimes against the person,A20 Assault and related offences,313,16,-94.88817891373802,-297
Maribyrnong,3012,Maidstone,B Property and deception offences,B40 Theft,312,391,25.320512820512818,79
Port Phillip,3206,Albert Park,B Property and deception offences,B40 Theft,311,363,16.7202572347267,52
Melbourne,3002,East Melbourne,B Property and deception offences,B40 Theft,309,502,62.45954692556634,193
Darebin,3073,Reservoir,B Property and deception offences,B20 Property damage,308,339,10.064935064935066,31
Casey,3805,Narre Warren South,B Property and deception offences,B40 Theft,308,384,24.675324675324674,76
Darebin,3072,Preston,B Property and deception offences,B20 Property damage,306,405,32.35294117647059,99
Glen Eira,3161,Caulfield North,B Property and deception offences,B40 Theft,306,326,6.5359477124183,20
Mornington Peninsula,3915,Hastings,B Property and deception offences,B40 Theft,305,482,58.03278688524589,177
Greater Dandenong,3175,Dandenong,B Property and deception offences,B30 Burglary/Break and enter,305,411,34.754098360655725,106
Baw Baw,3820,Warragul,E Justice procedures offences,E20 Breaches of orders,304,265,-12.828947368421051,-39
Melton,3337,Melton West,B Property and deception offences,B40 Theft,304,409,34.539473684210535,105
Maribyrnong,3011,Footscray,B Property and deception offences,B20 Property damage,303,311,2.64026402640265,8
East Gippsland,3875,Bairnsdale,E Justice procedures offences,E20 Breaches of orders,300,328,9.333333333333327,28
Darebin,3072,Preston,B Property and deception offences,B50 Deception,300,293,-2.3333333333333317,-7
Greater Geelong,3214,Norlane,E Justice procedures offences,E20 Breaches of orders,300,271,-9.666666666666668,-29
Casey,3977,Cranbourne,A Crimes against the person,A20 Assault and related offences,299,374,25.083612040133787,75
Yarra Ranges,3140,Lilydale,B Property and deception offences,B40 Theft,299,457,52.8428093645485,158
Stonnington,3181,Windsor,B Property and deception offences,B40 Theft,298,438,46.97986577181208,140
Stonnington,3181,Windsor,B Property and deception offences,B40 Theft,298,14,-95.30201342281879,-284
Wyndham,3026,Laverton North,B Property and deception offences,B40 Theft,298,374,25.503355704697995,76
Wellington,3850,Sale,B Property and deception offences,B40 Theft,298,555,86.24161073825502,257
Banyule,3079,Ivanhoe,B Property and deception offences,B40 Theft,297,629,111.78451178451176,332
East Gippsland,3875,Bairnsdale,B Property and deception offences,B40 Theft,296,448,51.35135135135136,152
Warrnambool,3280,Warrnambool,A Crimes against the person,A20 Assault and related offences,296,348,17.567567567567565,52
Darebin,3072,Preston,B Property and deception offences,B30 Burglary/Break and enter,295,556,88.47457627118645,261
Darebin,3073,Reservoir,B Property and deception offences,B30 Burglary/Break and enter,291,462,58.762886597938135,171
Casey,3177,Doveton,B Property and deception offences,B40 Theft,291,444,52.57731958762886,153
Darebin,3072,Preston,A Crimes against the person,A20 Assault and related offences,289,339,17.301038062283737,50
Merri-bek,3058,Coburg North,B Property and deception offences,B40 Theft,289,493,70.58823529411764,204
Stonnington,3143,Armadale,B Property and deception offences,B40 Theft,286,314,9.790209790209792,28
Kingston,3189,Moorabbin,B Property and deception offences,B40 Theft,286,368,28.671328671328666,82
Port Phillip,3205,South Melbourne,B Property and deception offences,B30 Burglary/Break and enter,284,340,19.718309859154925,56
Stonnington,3142,Toorak,B Property and deception offences,B40 Theft,283,365,28.97526501766785,82
Stonnington,3141,South Yarra,B Property and deception offences,B30 Burglary/Break and enter,280,391,39.64285714285714,111
Stonnington,3141,South Yarra,B Property and deception offences,B30 Burglary/Break and enter,280,33,-88.21428571428571,-247
Latrobe,3840,Morwell,B Property and deception offences,B20 Property damage,278,349,25.539568345323737,71
Monash,3148,Chadstone,B Property and deception offences,B40 Theft,277,389,40.43321299638989,112
Wyndham,3030,Werribee,B Property and deception offences,B30 Burglary/Break and enter,277,472,70.3971119133574,195
Latrobe,3840,Morwell,B Property and deception offences,B30 Burglary/Break and enter,276,274,-0.7246376811594235,-2
Greater Dandenong,3175,Dandenong North,B Property and deception offences,B40 Theft,276,453,64.13043478260869,177
Kingston,3189,Moorabbin,E Justice procedures offences,E20 Breaches of orders,276,267,-3.2608695652173947,-9
Hume,3043,Tullamarine,B Property and deception offences,B40 Theft,275,416,51.272727272727266,141
Hume,3043,Tullamarine,B Property and deception offences,B40 Theft,275,108,-60.72727272727273,-167
Hume,3043,Tullamarine,B Property and deception offences,B40 Theft,275,6,-97.81818181818181,-269
Casey,3977,Cranbourne West,B Property and deception offences,B40 Theft,275,429,56.00000000000001,154
Glen Eira,3185,Elsternwick,B Property and deception offences,B40 Theft,274,367,33.941605839416056,93
